irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_1,1,7.5,5.1372,11/21/21,12:31,16:58,1976,270.961,1,495.091,494.383,500.817,,16:54,16:58
2,02_1,2,7.5,5.1156,11/21/21,12:31,16:59,1976,180.817,1,,,,,,
3,03_1,1,8,5.2068,11/21/21,12:31,17:01,1976,273.611,1,,,,,,
4,04_1,2,7.5,5.2051,11/21/21,12:31,17:02,1976,226.827,1,,,,,,
5,05_1,1,7.5,5.1578,11/21/21,12:31,17:03,1976,164.486,1,,,,,,
6,06_1,2,7.5,5.1596,11/21/21,12:31,17:04,1976,223.188,1,,,,,,
7,07_1,1,7.5,5.2672,11/21/21,12:31,17:05,1976,209.477,1,,,,,,
8,08_1,2,7.5,5.2658,11/21/21,12:31,17:06,1976,210.068,1,,,,,,
9,09_1,1,7.5,4.9825,11/21/21,12:34,17:07,1976,331.781,1,,,,,,
10,10_1,2,7.5,4.9735,11/21/21,12:34,17:08,1976,346.8,1,,,,,,
11,11_1,1,7.5,4.9442,11/21/21,12:34,17:09,1976,246.671,1,,,,,,
12,12_1,2,7.5,4.9457,11/21/21,12:34,17:11,1976,254.247,1,,,,,,
13,13_1,1,7,4.9235,11/21/21,12:34,17:13,1976,284.782,1,,,,,,
14,14_1,2,7.5,4.9341,11/21/21,12:34,17:14,1976,246.929,1,,,,,,
15,15_1,1,7.5,5.0581,11/21/21,12:34,17:15,1976,241.306,1,,,,,,
16,16_1,2,7,5.0466,11/21/21,12:34,17:16,1976,257.37,1,,,,,,
17,17_1,1,7.5,4.9221,11/21/21,12:35,17:22,1976,635.754,1,490.402,489.097,490.654,,17:18,17:20
18,18_1,2,7.5,4.9209,11/21/21,12:35,17:24,1976,377.002,1,,,,,,
19,19_1,1,7.5,5.0659,11/21/21,12:35,17:25,1976,223.2,1,,,,,,
20,20_1,2,7.5,5.0747,11/21/21,12:35,17:26,1976,277.882,1,,,,,,
21,21_1,1,7.5,4.9671,11/21/21,12:35,17:27,1976,201.032,1,,,,,,
22,22_1,2,7,4.9756,11/21/21,12:35,17:28,1976,190.043,1,,,,,,
