unique.id,moistureFraction,moisturePercent
30_4,0.291989664,29.19896641
31_4,0.281558375,28.1558375
32_4,0.281558375,28.1558375
33_4,0.269196599,26.91965986
34_4,0.269196599,26.91965986
35_4,0.340842049,34.08420488
36_4,0.340842049,34.08420488
37_4,0.298701299,29.87012987
38_4,0.298701299,29.87012987
39_4,0.323977228,32.39772276
40_4,0.323977228,32.39772276
41_4,0.337971635,33.7971635
42_4,0.337971635,33.7971635
43_4,0.404494382,40.4494382
44_4,0.404494382,40.4494382
45_4,0.285181853,28.51818532
46_4,0.285181853,28.51818532
47_4,0.292323598,29.23235978
48_4,0.292323598,29.23235978
01_5,0.365001365,36.5001365
02_5,0.365001365,36.5001365
03_5,0.322926313,32.2926313
04_5,0.322926313,32.2926313
05_5,0.325556734,32.55567338
06_5,0.325556734,32.55567338
07_5,0.336898396,33.68983957
08_5,0.336898396,33.68983957
09_5,0.270163851,27.01638511
10_5,0.270163851,27.01638511
11_5,0.283367557,28.33675565
12_5,0.283367557,28.33675565
13_5,0.287995878,28.79958784
14_5,0.287995878,28.79958784
15_5,0.267427123,26.74271229
16_5,0.267427123,26.74271229
17_5,0.288992008,28.89920082
18_5,0.288992008,28.89920082
19_5,0.220405175,22.04051745
20_5,0.220405175,22.04051745
21_5,0.30480167,30.48016701
22_5,0.30480167,30.48016701
23_5,0.318044023,31.80440227
24_5,0.318044023,31.80440227
25_5,0.323276432,32.32764324
26_5,0.323276432,32.32764324
27_5,0.293995859,29.39958592
28_5,0.293995859,29.39958592
29_5,0.283038235,28.30382345
30_5,0.283038235,28.30382345
31_5,0.286339079,28.6339079
32_5,0.286339079,28.6339079
33_5,0.342462075,34.24620754
34_5,0.342462075,34.24620754
35_5,0.289490651,28.94906512
36_5,0.289490651,28.94906512
37_5,0.303101381,30.31013813
38_5,0.303101381,30.31013813
39_5,0.299207483,29.92074834
40_5,0.299207483,29.92074834
41_5,0.373437715,37.34377146
42_5,0.373437715,37.34377146
43_5,0.256281407,25.6281407
44_5,0.256281407,25.6281407
45_5,0.270325203,27.03252033
46_5,0.270325203,27.03252033
47_5,0.285677552,28.56775521
48_5,0.285677552,28.56775521
01_6,0.282380098,28.23800975
02_6,0.282380098,28.23800975
03_6,0.24595066,24.59506604
04_6,0.24595066,24.59506604
05_6,0.259287243,25.92872434
06_6,0.259287243,25.92872434
07_6,0.220703125,22.0703125
08_6,0.220703125,22.0703125
09_6,0.310100878,31.01008778
10_6,0.310100878,31.01008778
11_6,0.306506402,30.65064019
12_6,0.306506402,30.65064019
13_6,0.391594768,39.15947676
14_6,0.391594768,39.15947676
15_6,0.276813075,27.68130746
16_6,0.276813075,27.68130746
17_6,0.279426817,27.94268168
18_6,0.279426817,27.94268168
19_6,0.21610118,21.61011796
20_6,0.21610118,21.61011796
21_6,0.292323598,29.23235978
22_6,0.292323598,29.23235978
23_6,0.275998469,27.59984688
24_6,0.275998469,27.59984688
25_6,0.287332647,28.73326468
26_6,0.287332647,28.73326468
27_6,0.363140676,36.31406761
28_6,0.363140676,36.31406761
29_6,0.315270288,31.5270288
30_6,0.315270288,31.5270288
31_6,0.307189543,30.71895425
32_6,0.307189543,30.71895425
33_6,0.281886938,28.18869376
34_6,0.281886938,28.18869376
35_6,0.311991603,31.19916033
36_6,0.311991603,31.19916033
37_6,0.234263145,23.42631449
38_6,0.234263145,23.42631449
39_6,0.2848516,28.48515996
40_6,0.2848516,28.48515996
41_6,0.254705144,25.47051443
42_6,0.254705144,25.47051443
43_6,0.264702163,26.47021626
44_6,0.264702163,26.47021626
45_6,0.276487108,27.64871075
46_6,0.276487108,27.64871075
47_6,0.355380862,35.5380862
48_6,0.355380862,35.5380862
01_7,0.213150552,21.3150552
02_7,0.213150552,21.3150552
03_7,0.271294178,27.12941775
04_7,0.271294178,27.12941775
05_7,0.328021248,32.80212483
06_7,0.328021248,32.80212483
07_7,0.301574906,30.15749056
08_7,0.301574906,30.15749056
09_7,0.253446979,25.34469792
10_7,0.253446979,25.34469792
11_7,0.301913813,30.19138133
12_7,0.301913813,30.19138133
13_7,0.281394157,28.13941568
14_7,0.281394157,28.13941568
15_7,0.277465508,27.74655084
16_7,0.277465508,27.74655084
17_7,0.284026708,28.40267078
18_7,0.284026708,28.40267078
19_7,0.230920729,23.09207287
20_7,0.230920729,23.09207287
21_7,0.290156109,29.01561089
22_7,0.290156109,29.01561089
23_7,0.226391955,22.63919549
24_7,0.226391955,22.63919549
25_7,0.249219238,24.9219238
26_7,0.249219238,24.9219238
27_7,0.292991983,29.29919834
28_7,0.292991983,29.29919834
29_7,0.298532658,29.85326581
30_7,0.298532658,29.85326581
31_7,0.291489087,29.14890869
32_7,0.291489087,29.14890869
33_7,0.2848516,28.48515996
34_7,0.2848516,28.48515996
35_7,0.319609396,31.96093956
36_7,0.319609396,31.96093956
37_7,0.286504567,28.65045671
38_7,0.286504567,28.65045671
39_7,0.27420999,27.42099898
40_7,0.27420999,27.42099898
41_7,0.317002502,31.70025023
42_7,0.317002502,31.70025023
43_7,0.365933616,36.59336156
44_7,0.365933616,36.59336156
45_7,0.231527094,23.15270936
46_7,0.231527094,23.15270936
47_7,0.264062698,26.40626975
48_7,0.264062698,26.40626975
01_8,0.284686537,28.46865365
02_8,0.284686537,28.46865365
03_8,0.264222503,26.42225032
04_8,0.264222503,26.42225032
05_8,0.29617628,29.617628
06_8,0.29617628,29.617628
07_8,0.254075746,25.40757462
08_8,0.254075746,25.40757462
09_8,0.346619984,34.66199838
10_8,0.346619984,34.66199838
11_8,0.319087192,31.90871917
12_8,0.319087192,31.90871917
14_8,0.256281407,25.6281407
15_8,0.256281407,25.6281407
16_8,0.283038235,28.30382345
17_8,0.283038235,28.30382345
18_8,0.298532658,29.85326581
19_8,0.298532658,29.85326581
20_8,0.30701869,30.70186904
21_8,0.30701869,30.70186904
22_8,0.269518852,26.95188524
23_8,0.269518852,26.95188524
24_8,0.278118609,27.81186094
25_8,0.278118609,27.81186094
26_8,0.300221038,30.02210376
27_8,0.300221038,30.02210376
28_8,0.281065847,28.10658468
29_8,0.281065847,28.10658468
30_8,0.281722635,28.17226352
31_8,0.281722635,28.17226352
32_8,0.303780965,30.37809648
33_8,0.303780965,30.37809648
34_8,0.250781739,25.07817386
35_8,0.250781739,25.07817386
36_8,0.266624446,26.66244459
37_8,0.266624446,26.66244459
38_8,0.295336788,29.53367876
39_8,0.295336788,29.53367876
40_8,0.275347532,27.53475322
41_8,0.275347532,27.53475322
42_8,0.315270288,31.5270288
43_8,0.315270288,31.5270288
44_8,0.30565348,30.56534796
45_8,0.30565348,30.56534796
46_8,0.278608874,27.86088735
47_8,0.278608874,27.86088735
48_8,0.272426517,27.24265174
01_9,0.272426517,27.24265174
02_9,0.359434475,35.94344753
03_9,0.359434475,35.94344753
04_9,0.310959622,31.09596224
05_9,0.310959622,31.09596224
06_9,0.295840353,29.58403525
07_9,0.295840353,29.58403525
08_9,0.299883011,29.98830105
09_9,0.299883011,29.98830105
10_9,0.296008295,29.60082945
11_9,0.296008295,29.60082945
12_9,0.232134056,23.21340562
13_9,0.232134056,23.21340562
14_9,0.357588922,35.75889221
15_9,0.357588922,35.75889221
16_9,0.291155584,29.11555842
17_9,0.291155584,29.11555842
18_9,0.284356537,28.43565374
19_9,0.284356537,28.43565374
20_9,0.301066875,30.10668748
21_9,0.301066875,30.10668748
22_9,0.38121547,38.12154696
23_9,0.38121547,38.12154696
24_9,0.387347392,38.73473918
25_9,0.387347392,38.73473918
26_9,0.286339079,28.6339079
27_9,0.286339079,28.6339079
28_9,0.313370108,31.33701077
29_9,0.313370108,31.33701077
30_9,0.273723093,27.37230926
31_9,0.273723093,27.37230926
32_9,0.311131507,31.11315065
33_9,0.311131507,31.11315065
34_9,0.34354427,34.35442698
35_9,0.34354427,34.35442698
36_9,0.306165099,30.61650993
