"","unique.id","CO2CperHourperg"
"1","01_1",1.79194743314288
"2","01_2",2.05249769057965
"3","01_3",3.10512059670883
"4","02_1",1.19704008031546
"5","02_2",2.26192379231014
"6","02_3",3.681146286801
"7","03_1",1.79428923915914
"8","03_2",2.16071599386147
"9","03_3",1.88871816995202
"10","04_1",1.49701671781509
"11","04_2",1.81597377360069
"12","04_3",1.93795887758324
"13","05_1",1.07170372633053
"14","05_2",1.97219238742974
"15","05_3",2.65705998119292
"16","06_1",1.44916102184396
"17","06_2",1.85916018393857
"18","06_3",2.55428184042398
"19","07_1",1.38596248908934
"20","07_2",2.65142793342702
"21","07_3",3.36157783974533
"22","08_1",1.38597025115894
"23","08_2",2.57069803333677
"24","08_3",2.3771831059034
"25","09_1",2.11433038746409
"26","09_2",2.89167680350647
"27","09_3",1.89070159969503
"28","10_1",2.20720939001239
"29","10_2",3.02334167389558
"30","10_3",1.79270677840716
"31","11_1",1.55693675857346
"32","11_2",3.46179233399446
"33","11_3",1.92380334569298
"34","12_1",1.59449173372365
"35","12_2",3.2364541255488
"36","12_3",1.88815693496636
"37","13_1",1.78670018635916
"38","13_2",3.61454727649883
"39","13_3",1.78252049463386
"40","14_1",1.52726618476519
"41","14_2",2.96959936698974
"42","14_3",1.72277607278404
"43","15_1",1.50939538810843
"44","15_2",2.91598831135394
"45","15_3",2.77845643304116
"46","16_1",1.62345728383046
"47","16_2",2.58311779871287
"48","16_3",2.52089941263828
"49","17_1",3.8700398051696
"50","17_2",2.62963787464469
"51","17_3",1.88522939425026
"52","18_1",2.27979241952243
"53","18_2",1.92850224855091
"54","18_3",2.27754860105449
"55","19_1",1.37231736137061
"56","19_2",2.2848830096921
"57","19_3",2.30589739074159
"58","20_1",1.69976827880542
"59","20_2",2.41156804826342
"60","20_3",2.37710297686129
"61","21_1",1.20680932311541
"62","21_2",1.87172482073446
"63","21_3",2.76255295680713
"64","22_1",1.14543660185476
"65","22_2",1.86195798570484
"66","22_3",2.83557584431626
"67","23_1",1.18194382931675
"68","23_2",3.03492850225868
"69","23_3",3.04651432781993
"70","24_1",1.27266333543264
"71","24_2",3.60815657825711
"72","24_3",2.7992107406714
"73","25_1",1.31436410694997
"74","25_2",1.83553361374368
"75","25_3",1.87590801983364
"76","26_1",1.19166833656888
"77","26_2",1.92798998219991
"78","26_3",2.55138200960874
"79","27_1",1.86221531422673
"80","27_2",2.68772825043714
"81","27_3",2.36860972355666
"82","28_1",2.17752159755636
"83","28_2",2.95859457767787
"84","28_3",2.19299525592328
"85","29_1",2.51893730176741
"86","29_2",3.07784521681006
"87","29_3",1.60588855120633
"88","30_1",2.38964197721863
"89","30_2",2.92213583323251
"90","30_3",1.67229783591788
"91","31_1",1.50312535699144
"92","31_2",2.25460233092104
"93","31_3",2.15464262341754
"94","32_1",1.44175459484271
"95","32_2",1.7819404862283
"96","32_3",2.29885590090431
"97","33_1",1.80463825043396
"98","33_2",1.81218870908973
"99","33_3",2.53189755368873
"100","34_1",1.83373316199067
"101","34_2",1.61587991984084
"102","34_3",2.56083728907972
"103","35_1",1.55723310029174
"104","35_2",1.80617477088754
"105","35_3",1.70954283807778
"106","36_1",1.37712786781203
"107","36_2",1.78667731250508
"108","36_3",1.71966921817159
"109","37_1",1.3568239916115
"110","37_2",2.34717360217425
"111","37_3",3.53634702019595
"112","38_1",1.35665683172009
"113","38_2",2.21878478226514
"114","38_3",3.52552756692511
"115","39_1",2.31375287971022
"116","39_2",2.67681151225799
"117","39_3",3.7456858763012
"118","40_1",2.22758102685232
"119","40_2",3.11973926046662
"120","40_3",3.07864919373877
"121","41_1",1.52343515969617
"122","41_2",3.03960220119663
"123","41_3",2.4197125947236
"124","42_1",1.82046957920712
"125","42_2",3.28078730667933
"126","42_3",2.37893538820078
"127","43_1",1.06712998860445
"128","43_2",3.16342985305695
"129","43_3",1.5878766301854
"130","44_1",1.12326033110479
"131","44_2",4.09456492338267
"132","44_3",1.79321609395397
"133","45_1",1.19417672329974
"134","45_2",2.19230810279365
"135","45_3",2.42608633838298
"136","46_1",1.31222850389171
"137","46_2",2.3533813562335
"138","46_3",2.65745290998241
"139","47_1",1.41067355000634
"140","47_2",2.09241566630075
"141","47_3",1.74709593205346
"142","48_1",1.83418242358272
"143","48_2",1.75046226458323
"144","48_3",1.78173984511019
"145","01_4",3.05488099801362
"146","01_5",1.95005950252011
"147","02_4",2.91346637294543
"148","02_5",1.64802171425464
"149","03_4",1.63115886681759
"150","03_5",2.46455476207503
"151","04_4",1.52884201099548
"152","04_5",2.60844821900472
"153","05_4",1.61326364916349
"154","05_5",2.0087612291623
"155","06_4",1.63742004700581
"156","06_5",1.98564664421704
"157","07_4",1.81433134572793
"158","07_5",1.80005111450315
"159","08_4",2.06636958732997
"160","08_5",1.68791131351536
"161","09_4",1.99816721011417
"162","09_5",1.58908367033365
"163","10_4",1.83655267778474
"164","10_5",1.55179443115623
"165","11_4",2.66962283481955
"166","11_5",1.98367146616325
"167","12_4",2.64496802266984
"168","12_5",1.53218755100272
"169","13_4",1.54539068557836
"170","13_5",1.92931575048781
"171","14_4",1.74556280180496
"172","14_5",2.03740429626254
"173","15_4",2.08184878934457
"174","15_5",2.14979382069123
"175","16_4",2.17989493506936
"176","16_5",2.16855623271606
"177","17_4",1.88281504016525
"178","17_5",1.8656981675776
"179","18_4",1.74085958097019
"180","18_5",1.98325249549726
"181","19_4",1.95798946477374
"182","19_5",1.38837177498629
"183","20_4",1.91442078593103
"184","20_5",1.33321233777303
"185","21_4",2.48436803573264
"186","21_5",1.7184874470269
"187","22_4",3.3981694814027
"188","22_5",1.77064516085585
"189","23_4",1.87055137160915
"190","23_5",2.40563211474946
"191","24_4",1.86498071472628
"192","24_5",2.34561612321985
"193","25_4",2.2167426551711
"194","25_5",2.3967752776189
"195","26_4",2.42060704325639
"196","26_5",2.48110345908145
"197","27_4",2.16597044765875
"198","27_5",1.89111943058026
"199","28_4",2.28354361340793
"200","28_5",1.77606378656271
"201","29_4",1.82166152853613
"202","29_5",2.354615729516
"203","30_4",2.06951202519883
"204","30_5",1.73080814788479
"205","31_4",1.6876697181795
"206","31_5",2.17845067028329
"207","32_4",1.68453217974415
"208","32_5",1.92569973574356
"209","33_4",2.26896103015237
"210","33_5",1.39416746477197
"211","34_4",1.87066582821021
"212","34_5",2.62016978202112
"213","35_4",2.40097568305221
"214","35_5",1.95100102775219
"215","36_4",2.23056692026436
"216","36_5",2.18628920185352
"217","37_4",2.04043930235236
"218","37_5",2.03378115154795
"219","38_4",2.17408098647121
"220","38_5",2.03527703592411
"221","39_4",3.07775109533101
"222","39_5",1.64633478524014
"223","40_4",2.3922538525185
"224","40_5",1.53178634927559
"225","41_4",2.46831428027131
"226","41_5",1.84448563063475
"227","42_4",2.58533460053284
"228","42_5",1.91263123856021
"229","43_4",2.23100424168152
"230","43_5",1.91458011704406
"231","44_4",2.14158970449286
"232","44_5",1.68804702579734
"233","45_5",1.26998815052358
"234","46_4",2.68105693953641
"235","46_5",1.5501407208316
"236","47_4",2.00032565734916
"237","47_5",2.31417123624931
"238","48_4",2.19615763696617
"239","48_5",2.55347010943695
"240","01_6",1.47499100868708
"241","02_6",1.57163479765392
"242","03_6",3.09477603621061
"243","04_6",3.78004419056308
"244","05_6",1.28333212742605
"245","06_6",1.38297684872025
"246","07_6",1.12940093478559
"247","08_6",1.10773321614316
"248","09_6",1.98687304133371
"249","10_6",2.3138924904449
"250","11_6",1.40634653313216
"251","12_6",1.53930090716238
"252","13_6",1.69840129705017
"253","14_6",2.05540757414163
"254","15_6",1.79916141585917
"255","16_6",1.64359556996
"256","17_6",1.44699157807142
"257","18_6",1.5921732696886
"258","19_6",0.804891833152779
"259","20_6",0.887500384338788
"260","21_6",1.48758410079197
"261","22_6",1.49020274695859
"262","23_6",1.07883407408559
"263","24_6",1.05399876516833
"264","25_6",1.16894068337999
"265","26_6",1.33780749273374
"266","27_6",1.4728855867415
"267","28_6",1.66970773175226
"268","29_6",1.83420593638114
"269","30_6",1.86671044078102
"270","31_6",1.34575662023808
"271","32_6",1.24987509750321
"272","33_6",1.65707414614715
"273","34_6",1.48587470097124
"274","35_6",1.63143025503816
"275","36_6",1.501746971147
"276","37_6",1.88871622871514
"277","38_6",1.71227963430742
"278","39_6",1.50030893399648
"279","40_6",1.57373127262653
"280","41_6",1.45807846616241
"281","42_6",1.34358828653315
"282","43_6",1.03972827190044
"283","44_6",1.09202592715818
"284","45_6",1.76265112835629
"285","46_6",1.957954255423
"286","47_6",3.1304746898752
"287","48_6",2.44919449058112
"288","01_7",1.32951131079773
"289","02_7",1.46048303767398
"290","03_7",1.51705016526632
"291","04_7",1.94003946522727
"292","05_7",1.32031353890441
"293","06_7",1.43964924312153
"294","07_7",2.02100985613528
"295","08_7",1.97873269191823
"296","09_7",1.70204769130853
"297","10_7",1.21064590042729
"298","11_7",1.43813621035161
"299","12_7",1.58695350715158
"300","13_7",2.17165476308207
"301","14_7",2.19659473092349
"302","15_7",1.39206663603974
"303","16_7",1.70205501152216
"304","17_7",1.46348795869241
"305","18_7",1.54271589631346
"306","19_7",1.15681228849301
"307","20_7",1.05684665151734
"308","21_7",1.42895850520076
"309","22_7",2.08327992053599
"310","24_7",1.68914691830185
"311","25_7",1.17249003991185
"312","26_7",1.31509751177267
"313","27_7",1.62829669273832
"314","28_7",1.58908474761692
"315","29_7",2.09450767136726
"316","30_7",1.91701524933397
"317","31_7",1.57499632650978
"318","32_7",1.47190234607078
"319","33_7",1.75834385366424
"320","34_7",1.64764726755025
"321","35_7",1.84518095655725
"322","36_7",2.92322771516072
"323","37_7",1.69602915540487
"324","38_7",1.45321941848716
"325","39_7",2.17824198880932
"326","40_7",1.88348753718798
"327","41_7",1.90990236878896
"328","42_7",1.79205085651131
"329","43_7",2.09714368691496
"330","44_7",2.03165252354613
"331","45_7",1.37006820351393
"332","46_7",1.19553606851189
"333","47_7",2.62908942402242
"334","48_7",2.60727488095502
"335","01_8",1.49411061025468
"336","01_9",1.74345635492128
"337","02_8",1.5384716295675
"338","02_9",1.92441270849288
"339","03_8",1.73669844447113
"340","03_9",1.4866699820661
"341","04_8",1.70278863548652
"342","04_9",2.01877725550864
"343","05_8",1.6166040639635
"344","05_9",1.97457262155015
"345","06_8",1.24894423388392
"346","06_9",2.241261906072
"347","07_8",0.905732793593106
"348","07_9",1.28936764958383
"349","08_8",0.97101462371136
"350","08_9",1.45638360631884
"351","09_8",1.96501497581518
