irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_7,1,7,4.8585,11/29/21,13:46,18:03,1976,232.581,1,579.326,581.81,582.803,,17:58,18:02
2,02_7,2,7.5,4.8529,11/29/21,13:46,18:05,1976,259.587,1,,,,,,
3,03_7,1,7.5,5.0874,11/29/21,13:46,18:07,1976,263.855,1,,,,,,
4,04_7,2,7.5,5.0898,11/29/21,13:46,18:08,1976,338.909,1,,,,,,
5,05_7,1,8,5.3114,11/29/21,13:46,18:09,1976,224.879,1,,,,,,
6,06_7,2,8,5.3044,11/29/21,13:46,18:10,1976,245.836,1,,,,,,
7,07_7,1,8,5.2108,11/29/21,13:46,18:11,1976,353.731,1,,,,,,
8,08_7,2,8,5.2076,11/29/21,13:46,18:12,1976,347.458,1,,,,,,
9,09_7,1,7.5,5.0146,11/29/21,13:49,18:14,1976,303.726,1,,,,,,
10,10_7,2,7.5,5.0332,11/29/21,13:49,18:15,1976,217.677,1,,,,,,
11,11_7,1,8.5,5.2015,11/29/21,13:49,18:16,1976,255.517,1,,,,,,
12,12_7,2,7.5,5.2188,11/29/21,13:49,18:16,1976,277.719,1,,,,,,
13,13_7,1,7.5,5.1178,11/29/21,13:49,18:17,1976,385.116,1,,,,,,
14,14_7,2,7.5,5.1192,11/29/21,13:49,18:20,1976,394.12,1,,,,,,
15,15_7,1,7.5,5.1209,11/29/21,13:49,18:21,1976,252.169,1,,,,,,
16,16_7,2,7.5,5.1167,11/29/21,13:49,18:22,1976,309.409,1,577.315,581.723,584.672,587.104,18:23,18:31
17,17_7,1,7.5,5.1448,11/29/21,13:53,18:33,1976,271.972,1,,,,,,
18,18_7,2,7.5,5.1277,11/29/21,13:53,18:34,1976,286.773,1,,,,,,
19,19_7,1,7.5,4.9268,11/29/21,13:53,18:36,1976,223.533,1,,,,,,
20,20_7,2,7.5,4.9445,11/29/21,13:53,18:39,1976,207.144,1,,,,,,
21,21_7,1,7.5,5.1641,11/29/21,13:53,18:40,1976,270.941,1,,,,,,
22,22_7,2,8,5.1618,11/29/21,13:53,18:41,1976,399.877,1,,,,,,
23,24_7,2,7.5,4.9109,11/29/21,13:53,18:45,1976,337.771,1,,,,,,
24,25_7,1,7.5,4.9979,11/29/21,13:56,18:46,1976,229.992,1,,,,,,
25,26_7,2,7.5,4.9956,11/29/21,13:56,18:50,1976,261.439,1,,,,,,
26,27_7,1,7.5,5.1844,11/29/21,13:56,18:51,1976,317.437,1,,,,,,
27,28_7,2,7.5,5.1941,11/29/21,13:56,18:52,1976,311.435,1,,,,,,
28,29_7,1,8,5.2078,11/29/21,13:56,18:53,1976,413.524,1,,,,,,
29,30_7,2,8,5.1929,11/29/21,13:56,18:54,1976,378.682,1,,,,,,
30,31_7,1,7.5,5.1562,11/29/21,13:56,18:55,1976,310.217,1,,,,,,
31,32_7,2,7.5,5.1673,11/29/21,13:56,18:56,1976,291.517,1,,,,,,
32,33_7,1,7.5,5.1284,11/29/21,13:59,19:02,1976,352.365,1,584.686,583.288,582.495,583.138,18:58,19:00
33,34_7,2,7.5,5.1292,11/29/21,13:59,19:03,1976,331.469,1,,,,,,
34,35_7,1,8,5.2984,11/29/21,13:59,19:04,1976,369.559,1,,,,,,
35,36_7,2,8,5.2813,11/29/21,13:59,19:05,1976,585.755,1,,,,,,
36,37_7,1,7.5,5.1422,11/29/21,13:59,19:06,1976,345.099,1,,,,,,
37,38_7,2,7.5,5.1662,11/29/21,13:59,19:07,1976,298.172,1,,,,,,
38,39_7,1,8,5.1002,11/29/21,13:59,19:08,1976,454.64,1,,,,,,
39,40_7,2,7.5,5.0923,11/29/21,13:59,19:09,1976,390.349,1,,,,,,
40,41_7,1,7.5,5.2648,11/29/21,14:03,19:10,1976,381.544,1,,,,,,
41,42_7,2,8,5.2604,11/29/21,14:03,19:11,1976,362.339,1,,,,,,
42,43_7,1,7.5,5.4604,11/29/21,14:03,19:12,1976,406.369,1,,,,,,
43,44_7,2,7.5,5.4868,11/29/21,14:03,19:13,1976,397.036,1,,,,,,
44,45_7,1,7,4.9236,11/29/21,14:03,19:14,1976,289.61,1,,,,,,
45,46_7,2,7.5,4.9224,11/29/21,14:03,19:16,1976,256.831,1,,,,,,
46,47_7,1,8,5.0584,11/29/21,14:03,19:16,1976,560.958,1,,,,,,
47,48_7,2,7.5,5.0461,11/29/21,14:03,19:18,1976,553.871,1,,,,,,
48,,,,,,,,,,1,587.565,589.469,589.341,,19:19,19:21
