irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_6,1,7.5,5.1292,11/28/21,13:54,18:04,1976,220.324,1,524.259,524.95,526.257,,18:01,18:03
2,02_6,2,7.5,5.1225,11/28/21,13:54,18:05,1976,235.542,1,,,,,,
3,03_6,1,7.5,4.9908,11/28/21,13:54,18:07,1976,479.228,1,,,,,,
4,04_6,2,7.5,4.9778,11/28/21,13:54,18:08,1976,586.5,1,,,,,,
5,05_6,1,7.5,5.0393,11/28/21,13:54,18:10,1976,199.827,1,,,,,,
6,06_6,2,7.5,5.0438,11/28/21,13:54,18:11,1976,216.515,1,,,,,,
7,07_6,1,7.5,4.8941,11/28/21,13:54,18:12,1976,181.323,1,,,,,,
8,08_6,2,7,4.8883,11/28/21,13:54,18:13,1976,176.818,1,,,,,,
9,09_6,1,7.5,5.2502,11/28/21,13:57,18:13,1976,300.786,1,,,,,,
10,10_6,2,7,5.2523,11/28/21,13:57,18:14,1976,348.834,1,,,,,,
11,11_6,1,7,5.2315,11/28/21,13:57,18:15,1976,213.238,1,,,,,,
12,12_6,2,7.5,5.2202,11/28/21,13:57,18:16,1976,236.085,1,,,,,,
13,13_6,1,8.5,5.5671,11/28/21,13:57,18:17,1976,249.372,1,,,,,,
14,14_6,2,8,5.5533,11/28/21,13:57,18:18,1976,299.6,1,,,,,,
15,15_6,1,7.5,5.0983,11/28/21,13:57,18:18,1976,283.566,1,,,,,,
16,16_6,2,7.5,5.0945,11/28/21,13:57,18:19,1976,260.011,1,,,,,,
17,17_6,1,7.5,5.1121,11/28/21,13:59,18:24,1976,232.078,1,530.89,531.449,532.311,,18:20,18:22
18,18_6,2,7.5,5.1168,11/28/21,13:59,18:25,1976,256.196,1,,,,,,
19,19_6,1,7.5,4.8773,11/28/21,13:59,18:25,1976,134.302,1,,,,,,
20,20_6,2,7.5,4.8544,11/28/21,13:59,18:26,1976,147.733,1,,,,,,
21,21_6,1,8,5.1689,11/28/21,13:59,18:27,1976,240.78,1,,,,,,
22,22_6,2,8,5.1669,11/28/21,13:59,18:28,1976,241.663,1,,,,,,
23,23_6,1,7.5,5.0951,11/28/21,13:59,18:29,1976,175.284,1,,,,,,
24,24_6,2,7,5.1073,11/28/21,13:59,18:30,1976,170.487,1,,,,,,
25,25_6,1,7.5,5.1399,11/28/21,14:01,18:31,1976,188.052,1,,,,,,
26,26_6,2,7,5.1531,11/28/21,14:01,18:32,1976,214.297,1,,,,,,
27,27_6,1,8,5.4609,11/28/21,14:01,18:33,1976,228.067,1,,,,,,
28,28_6,2,7.5,5.4562,11/28/21,14:01,18:34,1976,256.527,1,,,,,,
29,29_6,1,7.5,5.2687,11/28/21,14:01,18:35,1976,293.216,1,,,,,,
30,30_6,2,7.5,5.2624,11/28/21,14:01,18:36,1976,298.709,1,,,,,,
31,31_6,1,7.5,5.2347,11/28/21,14:01,18:37,1976,217.213,1,,,,,,
32,32_6,2,7,5.2229,11/28/21,14:01,18:39,1976,198.856,1,515.783,517.29,516.019,,18:40,18:42
33,33_6,1,7,5.1211,11/28/21,14:04,18:44,1976,271.408,1,,,,,,
34,34_6,2,7.5,5.1285,11/28/21,14:04,18:45,1976,247.107,1,,,,,,
35,35_6,1,8,5.2519,11/28/21,14:04,18:45,1976,268.652,1,,,,,,
36,36_6,2,8,5.2502,11/28/21,14:04,18:46,1976,248.377,1,,,,,,
37,37_6,1,7.5,4.9516,11/28/21,14:04,18:47,1976,326.417,1,,,,,,
38,38_6,2,7.5,4.9485,11/28/21,14:04,18:48,1976,297.119,1,,,,,,
39,39_6,1,7.5,5.1339,11/28/21,14:04,18:49,1976,253.421,1,,,,,,
40,40_6,2,7.5,5.1572,11/28/21,14:04,18:50,1976,268.268,1,,,,,,
41,41_6,1,7.5,5.0128,11/28/21,14:08,18:51,1976,249.417,1,,,,,,
42,42_6,2,7.5,5.0197,11/28/21,14:08,18:53,1976,232.296,1,,,,,,
43,43_6,1,7.5,5.0511,11/28/21,14:08,18:54,1976,179.286,1,,,,,,
44,44_6,2,7.5,5.0754,11/28/21,14:08,18:55,1976,190.084,1,,,,,,
45,45_6,1,7.5,5.0996,11/28/21,14:08,18:56,1976,304.736,1,,,,,,
46,46_6,2,7.5,5.1149,11/28/21,14:08,18:57,1976,341.076,1,,,,,,
47,47_6,1,8,5.4298,11/28/21,14:08,18:58,1976,522.924,1,,,,,,
48,48_6,2,7.5,5.4216,11/28/21,14:08,18:59,1976,406.614,1,,,,,,
49,,,,,,,,,,,529.6,527.802,528.73,,19:01,19:03
