irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_5,1,8,6.9556,11/17/23,9:02,12:53,1976,594.471,1,666.472,667.552,668.955,,12:48,12:50
2,02_5,2,8.5,6.9425,11/17/23,9:02,12:54,1976,540.591,1,,,,,,
3,03_5,1,7.5,6.1478,11/17/23,9:02,12:56,1976,499.129,1,,,,,,
4,04_5,2,7.5,6.1092,11/17/23,9:02,12:57,1976,474.92,1,,,,,,
5,05_5,1,9,7.2341,11/17/23,9:02,12:59,1976,761.662,1,,,,,,
6,06_5,2,9.5,7.1959,11/17/23,9:02,13:01,1976,873.546,1,,,,,,
7,07_5,1,8.5,6.8577,11/17/23,9:02,13:03,1976,826.539,1,,,,,,
8,08_5,2,8,6.8627,11/17/23,9:02,13:05,1976,654.59,1,,,,,,
9,09_5,1,8.5,6.5036,11/17/23,9:06,13:06,1976,639.365,1,,,,,,
10,10_5,2,8.5,6.5178,11/17/23,9:06,13:09,1976,552.54,1,,,,,,
11,11_5,1,9,6.8866,11/17/23,9:06,13:10,1976,602.542,1,,,,,,
12,12_5,2,9,6.8926,11/17/23,9:06,13:11,1976,651.146,1,,,,,,
13,13_5,1,8,7.0848,11/17/23,9:06,13:12,1976,634.267,1,,,,,,
14,14_5,2,8.5,7.0223,11/17/23,9:06,13:13,1976,621.142,1,,,,,,
15,15_5,1,9,6.9214,11/17/23,9:06,13:15,1976,812.012,1,,,,,,
16,16_5,2,9,6.9518,11/17/23,9:06,13:17,1976,798.988,1,,,,,,
17,17_5,1,9,6.8865,11/17/23,9:10,13:20,1976,627.707,1,657.095,653.533,655.363,,13:18,13:19
18,18_5,2,9,6.8763,11/17/23,9:10,13:21,1976,584.198,1,,,,,,
19,19_5,1,9,6.8451,11/17/23,9:10,13:22,1976,1112.73,1,,,,,,
20,20_5,2,8.5,6.8565,11/17/23,9:10,13:23,1976,986.147,1,,,,,,
21,21_5,1,8,6.2659,11/17/23,9:10,13:24,1976,818.354,1,,,,,,
22,22_5,2,7.5,6.2725,11/17/23,9:10,13:25,1976,908.653,1,,,,,,
23,23_5,1,8,6.5879,11/17/23,9:10,13:26,1976,775.533,1,,,,,,
24,24_5,2,8,6.5747,11/17/23,9:10,13:27,1976,733.762,1,,,,,,
25,25_5,1,9,6.7365,11/17/23,9:14,13:29,1976,768.9,1,,,,,,
26,26_5,2,9,6.7908,11/17/23,9:14,13:30,1976,826.404,1,,,,,,
27,27_5,1,8.5,7.0249,11/17/23,9:14,13:31,1976,677.253,1,,,,,,
28,28_5,2,9,7.0012,11/17/23,9:14,13:32,1976,676.152,1,,,,,,
29,29_5,1,9,7.3263,11/17/23,9:14,13:35,1976,627.549,1,,,,,,
30,30_5,2,9.5,7.3522,11/17/23,9:14,13:36,1976,645.42,1,,,,,,
31,31_5,1,8.5,6.7497,11/17/23,9:14,13:37,1976,495.241,1,,,,,,
32,32_5,2,8.5,6.7914,11/17/23,9:14,13:38,1976,584.713,1,,,,,,
