irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_4,1,7.5,5.2065,11/27/21,11:45,16:08,1976,597.28,1,661.91,662.286,660.474,,16:04,16:07
2,02_4,2,7.5,5.2067,11/27/21,11:45,16:09,1976,571.476,1,,,,,,
3,03_4,1,7.5,5.5099,11/27/21,11:45,16:11,1976,304.647,1,,,,,,
4,04_4,2,8,5.5076,11/27/21,11:45,16:12,1976,288.963,1,,,,,,
5,05_4,1,8,5.1785,11/27/21,11:45,16:14,1976,326.259,1,,,,,,
6,06_4,2,7.5,5.1744,11/27/21,11:45,16:21,1976,334.969,1,,,,,,
7,07_4,1,7.5,5.1895,11/27/21,11:45,16:22,1976,372.124,1,,,,,,
8,08_4,2,7.5,5.1847,11/27/21,11:45,16:24,1976,425.967,1,,,,,,
9,09_4,1,7,5.1442,11/27/21,11:48,16:25,1976,408.307,1,,,,,,
10,10_4,2,7.5,5.1407,11/27/21,11:48,16:27,1976,380.729,1,,,,,,
11,11_4,1,8.5,5.8034,11/27/21,11:48,16:28,1976,489.414,1,,,,,,
12,12_4,2,8.5,5.8138,11/27/21,11:48,16:29,1976,487.202,1,,,,,,
13,13_4,1,7.5,5.0886,11/27/21,11:48,16:30,1976,325.438,1,,,,,,
14,14_4,2,7.5,5.0997,11/27/21,11:48,16:31,1976,369.475,1,,,,,,
15,15_4,1,7.5,5.3696,11/27/21,11:48,16:33,1976,422.761,1,,,,,,
16,16_4,2,7.5,5.3636,11/27/21,11:48,16:34,1976,442.107,1,648.805,648.974,649.991,,16:35,16:39
17,17_4,1,8,5.4772,11/27/21,11:51,16:40,1976,381.495,1,,,,,,
18,18_4,2,8,5.4754,11/27/21,11:51,16:41,1976,354.045,1,,,,,,
19,19_4,1,7,5.0465,11/27/21,11:51,16:42,1976,424.37,1,,,,,,
20,20_4,2,7.5,5.049,11/27/21,11:51,16:43,1976,420.618,1,,,,,,
21,21_4,1,7.5,5.2115,11/27/21,11:51,16:44,1976,533.959,1,,,,,,
22,22_4,2,7.5,5.2265,11/27/21,11:51,16:46,1976,738.33,1,,,,,,
23,23_4,1,7.5,5.0533,11/27/21,11:51,16:47,1976,418.486,1,,,,,,
24,24_4,2,7.5,5.0539,11/27/21,11:51,16:48,1976,418.945,1,,,,,,
25,25_4,1,8,5.2593,11/27/21,11:54,16:49,1976,482.422,1,,,,,,
26,26_4,2,7.5,5.2631,11/27/21,11:54,16:50,1976,524.424,1,,,,,,
27,27_4,1,7.5,5.4569,11/27/21,11:54,16:51,1976,451.982,1,,,,,,
28,28_4,2,8,5.4763,11/27/21,11:54,16:52,1976,484.535,1,,,,,,
29,29_4,1,7.5,5.1567,11/27/21,11:54,16:55,1976,406.751,1,,,,,,
30,30_4,2,7.5,5.1762,11/27/21,11:54,16:56,1976,465.653,1,,,,,,
31,31_4,1,7.5,5.134,11/27/21,11:54,16:57,1976,383.679,1,,,,,,
32,32_4,2,7,5.1296,11/27/21,11:54,16:58,1976,380.642,1,,,,,,
33,33_4,1,7.5,5.0905,11/27/21,11:56,17:09,1976,538.373,1,658.514,659.787,659.45,,17:01,17:08
34,34_4,2,7.5,5.0691,11/27/21,11:56,17:10,1976,443.418,1,,,,,,
35,35_4,1,7.5,5.3613,11/27/21,11:56,17:11,1976,544.652,1,,,,,,
36,36_4,2,7.5,5.3699,11/27/21,11:56,17:13,1976,510.037,1,,,,,,
37,37_4,1,7.5,5.1999,11/27/21,11:56,17:13,1976,480.676,1,,,,,,
38,38_4,2,7,5.2046,11/27/21,11:56,17:15,1976,511.191,1,,,,,,
39,39_4,1,7.5,5.2945,11/27/21,11:56,17:16,1976,718.384,1,,,,,,
40,40_4,2,7.5,5.3067,11/27/21,11:56,17:17,1976,561.423,1,,,,,,
41,41_4,1,7.5,5.3464,11/27/21,12:00,17:19,1976,567.978,1,,,,,,
42,42_4,2,8,5.3503,11/27/21,12:00,17:20,1976,602.727,1,,,,,,
43,43_4,1,8,5.6178,11/27/21,12:00,17:21,1976,492.79,1,,,,,,
44,44_4,2,8.5,5.6217,11/27/21,12:00,17:22,1976,479.274,1,,,,,,
45,46_4,2,7.5,5.1495,11/27/21,12:00,17:24,1976,651.688,1,,,,,,
46,47_4,1,7.5,5.1664,11/27/21,12:00,17:25,1976,484.44,1,,,,,,
47,48_4,2,7.5,5.1595,11/27/21,12:00,17:26,1976,532.797,1,,,,,,
48,01_5,1,7.5,5.4591,11/27/21,12:03,17:40,1976,464.4,1,656.581,660.831,661.112,,17:34,17:39
49,02_5,2,7.5,5.4762,11/27/21,12:03,17:41,1976,394.867,1,,,,,,
50,03_5,1,7.5,5.2831,11/27/21,12:03,17:42,1976,609.229,1,,,,,,
51,04_5,2,7.5,5.289,11/27/21,12:03,17:43,1976,647.421,1,,,,,,
52,05_5,1,7.5,5.3039,11/27/21,12:03,17:44,1976,499.503,1,,,,,,
53,06_5,2,8,5.3046,11/27/21,12:03,17:45,1976,499.84,1,,,,,,
