irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_8,1,7.5,5.1394,12/27/21,11:53,16:11,1976,267.095,1,609.333,611.82,608.106,,16:06,16:11
2,02_8,2,7.5,5.1339,12/27/21,11:53,16:13,1976,275.856,1,,,,,,
3,03_8,1,7.5,5.0595,12/27/21,11:53,16:14,1976,316.303,1,,,,,,
4,04_8,2,7,5.0594,12/27/21,11:53,16:15,1976,307.924,1,,,,,,
5,05_8,1,8,5.1842,12/27/21,11:53,16:16,1976,292.411,1,,,,,,
6,06_8,2,9,5.1848,12/27/21,11:53,16:17,1976,230.638,1,,,,,,
7,07_8,1,8.5,5.0199,12/27/21,11:53,16:17,1976,170.026,1,,,,,,
8,08_8,2,8,5.0177,12/27/21,11:53,16:18,1976,180.87,1,,,,,,
9,09_8,1,7.5,5.3833,12/27/21,11:56,16:19,1976,337.63,1,,,,,,
10,10_8,2,7.5,5.3891,12/27/21,11:56,16:20,1976,285.598,1,,,,,,
11,11_8,1,7.5,5.2727,12/27/21,11:56,16:20,1976,308.148,1,,,,,,
12,12_8,2,7.5,5.2738,12/27/21,11:56,16:21,1976,298.113,1,,,,,,
13,14_8,2,7.5,5.0213,12/27/21,11:56,16:22,1976,385.615,1,,,,,,
14,15_8,1,7.5,5.137,12/27/21,11:56,16:23,1976,330.165,1,,,,,,
15,16_8,2,7.5,5.134,12/27/21,11:56,16:24,1976,331.912,1,581.507,585.875,590.62,596.936,16:25,16:33
16,17_8,1,7.5,5.1982,12/27/21,12:00,16:34,1976,305.534,1,,,,,,
17,18_8,2,7,5.1929,12/27/21,12:00,16:35,1976,356.493,1,,,,,,
18,19_8,1,7.5,5.2239,12/27/21,12:00,16:36,1976,394.013,1,,,,,,
19,20_8,2,7.5,5.2224,12/27/21,12:00,16:37,1976,380.642,1,,,,,,
20,21_8,1,7.5,5.0716,12/27/21,12:00,16:38,1976,278.749,1,,,,,,
21,22_8,2,7.5,5.0727,12/27/21,12:00,16:39,1976,290.112,1,,,,,,
22,23_8,1,7.5,5.1144,12/27/21,12:00,16:39,1976,337.013,1,,,,,,
23,24_8,2,7.5,5.1122,12/27/21,12:00,16:40,1976,364.385,1,,,,,,
24,25_8,1,7.5,5.2073,12/27/21,12:03,16:41,1976,374.76,1,,,,,,
25,26_8,2,7.5,5.2039,12/27/21,12:03,16:41,1976,335.585,1,,,,,,
26,27_8,1,7.5,5.1256,12/27/21,12:03,16:42,1976,316.437,1,,,,,,
27,28_8,2,7.5,5.1212,12/27/21,12:03,16:43,1976,373.056,1,,,,,,
28,29_8,1,7.5,5.1288,12/27/21,12:03,16:43,1976,285.986,1,,,,,,
29,30_8,2,7.5,5.1271,12/27/21,12:03,16:44,1976,272.178,1,,,,,,
30,31_8,1,8,5.2148,12/27/21,12:03,16:45,1976,382.924,1,,,,,,
31,32_8,2,7.5,5.2111,12/27/21,12:03,16:46,1976,358.733,1,588.262,595.361,597.095,597.996,16:46,16:52
32,33_8,1,7.5,5.001,12/27/21,12:06,16:53,1976,320.152,1,,,,,,
33,34_8,2,7.5,5.0031,12/27/21,12:06,16:54,1976,403.844,1,,,,,,
34,35_8,1,7.5,5.0672,12/27/21,12:06,16:55,1976,407.785,1,,,,,,
35,36_8,2,7.5,5.0695,12/27/21,12:06,16:56,1976,362.417,1,,,,,,
36,37_8,1,7.5,5.1825,12/27/21,12:06,16:57,1976,534.52,1,,,,,,
37,38_8,2,7.5,5.1856,12/27/21,12:06,16:58,1976,398.806,1,,,,,,
38,39_8,1,7.5,5.1053,12/27/21,12:06,16:59,1976,269.374,1,,,,,,
39,40_8,2,7.5,5.1064,12/27/21,12:06,17:00,1976,270.832,1,,,,,,
40,41_8,1,7.5,5.2681,12/27/21,12:09,17:00,1976,358.012,1,,,,,,
41,42_8,2,7.5,5.2668,12/27/21,12:09,17:01,1976,335.862,1,,,,,,
42,43_8,1,7.5,5.2228,12/27/21,12:09,17:02,1976,387.074,1,,,,,,
43,44_8,2,7.5,5.2249,12/27/21,12:09,17:03,1976,383.991,1,,,,,,
44,45_8,1,7.5,5.1101,12/27/21,12:09,17:04,1976,363.944,1,,,,,,
45,46_8,2,7.5,5.1193,12/27/21,12:09,17:04,1976,344.231,1,,,,,,
46,47_8,1,7.5,5.0801,12/27/21,12:09,17:05,1976,353.452,1,,,,,,
47,48_8,2,7.5,5.0871,12/27/21,12:09,17:06,1976,297.274,1,,,,,,
48,01_9,1,7.5,5.431,12/27/21,12:14,17:11,1976,379.596,1,598.101,600.263,601.081,601.36,17:07,17:11
49,02_9,2,8,5.4345,12/27/21,12:14,17:12,1976,373.523,1,,,,,,
50,03_9,1,7.5,5.2417,12/27/21,12:14,17:13,1976,276.503,1,,,,,,
51,04_9,2,7.5,5.2428,12/27/21,12:14,17:14,1976,405.029,1,,,,,,
52,05_9,1,7.5,5.1836,12/27/21,12:14,17:15,1976,392.712,1,,,,,,
53,06_9,2,7,5.1812,12/27/21,12:14,17:16,1976,452.37,1,,,,,,
54,07_9,1,7.5,5.1942,12/27/21,12:14,17:18,1976,264.647,1,,,,,,
55,08_9,2,7.5,5.1952,12/27/21,12:14,17:19,1976,298.033,1,,,,,,
56,09_9,1,7.5,5.1802,12/27/21,12:16,17:20,1976,330.64,1,,,,,,
57,10_9,2,7.5,5.1842,12/27/21,12:16,17:21,1976,361.065,1,,,,,,
58,11_9,1,7,4.9204,12/27/21,12:16,17:22,1976,239.587,1,,,,,,
59,12_9,2,7.5,4.9215,12/27/21,12:16,17:23,1976,224.054,1,,,,,,
60,13_9,1,7.5,5.4305,12/27/21,12:16,17:24,1976,625.048,1,,,,,,
61,14_9,2,7.5,5.4323,12/27/21,12:16,17:25,1976,563.876,1,,,,,,
62,15_9,1,7.5,5.1654,12/27/21,12:16,17:26,1976,571.621,1,,,,,,
63,16_9,2,7.5,5.1637,12/27/21,12:16,17:26,1976,428.146,1,,,,,,
