irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_3,1,9,6.9166,11/14/23,8:55,13:04,1976,704.165,1,675.562,675.938,675.193,,12:58,13:01
2,02_3,2,8.5,6.8944,11/14/23,8:55,13:05,1976,812.637,1,,,,,,
3,03_3,1,8.5,7.0939,11/14/23,8:55,13:06,1976,776.474,1,,,,,,
4,04_3,2,9,7.0946,11/14/23,8:55,13:09,1976,774.548,1,,,,,,
5,05_3,1,7.5,6.4582,11/14/23,8:55,13:09,1976,1246.36,1,,,,,,
6,06_3,2,8,6.4202,11/14/23,8:55,13:10,1976,1172.35,1,,,,,,
7,07_3,1,9.5,6.9411,11/14/23,8:55,13:11,1976,673.126,1,,,,,,
8,08_3,2,9,6.9113,11/14/23,8:55,13:13,1976,667.527,1,,,,,,
9,09_3,1,8,7.1951,11/14/23,8:59,13:13,1976,785.79,1,,,,,,
10,10_3,2,8.5,7.1802,11/14/23,8:59,13:15,1976,731.899,1,,,,,,
11,11_3,1,9,6.7758,11/14/23,8:59,13:15,1976,756.531,1,,,,,,
12,12_3,2,8.5,6.7231,11/14/23,8:59,13:18,1976,580.02,1,,,,,,
13,13_3,1,8.5,6.6446,11/14/23,8:59,13:19,1976,660.915,1,,,,,,
14,14_3,2,9.5,6.5839,11/14/23,8:59,13:20,1976,640.215,1,,,,,,
15,15_3,1,9,7.3747,11/14/23,8:59,13:21,1976,746.919,1,,,,,,
16,16_3,2,9.5,7.3612,11/14/23,8:59,13:22,1976,607.862,1,,,,,,
17,17_3,1,9.5,6.9917,11/14/23,9:03,13:27,1976,1715.37,1,664.849,665.992,665.794,,13:24,13:26
18,18_3,2,8.5,6.9405,11/14/23,9:03,13:28,1976,1734.25,1,,,,,,
19,19_3,1,9,7.2008,11/14/23,9:03,13:29,1976,533.679,1,,,,,,
20,20_3,2,9.5,7.2257,11/14/23,9:03,13:30,1976,559.362,1,,,,,,
21,21_3,1,9,6.8038,11/14/23,9:03,13:31,1976,679.654,1,,,,,,
22,30_3,2,8.5,7.3032,11/14/23,9:07,13:32,1976,690.33,1,,,,,,
23,23_3,1,7.5,5.8573,11/14/23,9:03,13:35,1976,452.493,1,,,,,,
24,24_3,2,7.5,5.8526,11/14/23,9:03,13:36,1976,417.305,1,,,,,,
30,22_3,2,8.5,6.8705,11/14/23,9:03,13:38,1976,670.092,1,,,,,,
29,29_3,1,8.5,7.2883,11/14/23,9:07,13:40,1976,702.492,1,,,,,,
25,25_3,1,8,6.7922,11/14/23,9:07,13:42,1976,703.08,1,,,,,,
26,26_3,2,8.5,6.7985,11/14/23,9:07,13:42,1976,587.639,1,,,,,,
27,27_3,1,9,6.5593,11/14/23,9:07,13:44,1976,742.918,1,,,,,,
28,28_3,2,8,6.5655,11/14/23,9:07,13:45,1976,631.734,1,,,,,,
31,31_3,1,8.5,6.4633,11/14/23,9:07,13:46,1976,507.084,1,,,,,,
32,32_3,2,8.5,6.4458,11/14/23,9:07,13:47,1976,560.541,1,,,,,,
33,33_3,1,9,7.021,11/14/23,9:11,13:52,1976,758.749,1,666.864,667.675,664.885,,13:48,13:50
34,34_3,2,8.5,7.0686,11/14/23,9:11,13:52,1976,746.997,1,,,,,,
35,35_3,1,8.5,6.7179,11/14/23,9:11,13:53,1976,497.678,1,,,,,,
