irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_1,1,8,6.6376,11/8/23,8:38,12:50,1976,570.848,1,652.78,650.607,650.443,,12:46,12:49
2,02_1,2,8,6.6793,11/8/23,8:38,12:52,1976,539.055,1,,,,,,
3,03_1,1,9.5,7.6221,11/8/23,8:38,12:54,1976,748.05,1,,,,,,
4,04_1,2,9.5,7.663,11/8/23,8:38,12:55,1976,752.406,1,,,,,,
5,05_1,1,9,6.8879,11/8/23,8:38,12:56,1976,528.256,1,,,,,,
6,06_1,2,9,6.9544,11/8/23,8:38,12:58,1976,578.41,1,,,,,,
7,07_1,1,8,6.2214,11/8/23,8:38,12:59,1976,999.181,1,,,,,,
8,08_1,2,8,6.2266,11/8/23,8:38,13:00,1976,907.856,1,,,,,,
9,09_1,1,9.5,6.9861,11/8/23,8:42,13:02,1976,589.961,1,,,,,,
10,10_1,2,9.5,6.9467,11/8/23,8:42,13:02,1976,690.129,1,,,,,,
11,11_1,1,8,6.7087,11/8/23,8:42,13:04,1976,667.389,1,,,,,,
12,12_1,2,8,6.7324,11/8/23,8:42,13:05,1976,625.147,1,,,,,,
13,13_1,1,8,6.4714,11/8/23,8:42,13:06,1976,632.802,1,,,,,,
14,14_1,2,8,6.4213,11/8/23,8:42,13:07,1976,781.529,1,,,,,,
15,15_1,1,9,6.8776,11/8/23,8:42,13:08,1976,564.098,1,,,,,,
16,16_1,2,9,6.8033,11/8/23,8:42,13:10,1976,618.918,1,,,,,,
17,17_1,1,8.5,6.7334,11/8/23,8:48,13:15,1976,580.533,1,644.139,644.547,646.146,,13:11,13:14
18,18_1,2,8.5,6.7396,11/8/23,8:48,13:16,1976,675.794,1,,,,,,
19,19_1,1,8,6.8755,11/8/23,8:48,13:17,1976,576.684,1,,,,,,
20,20_1,2,8,6.8952,11/8/23,8:48,13:18,1976,642.128,1,,,,,,
21,21_1,1,8.5,6.8314,11/8/23,8:48,13:19,1976,685.235,1,,,,,,
22,22_1,2,8.5,6.8724,11/8/23,8:48,13:20,1976,698.288,1,,,,,,
23,23_1,1,8,6.946,11/8/23,8:48,13:21,1976,630.396,1,,,,,,
24,24_1,2,8,6.9355,11/8/23,8:48,13:22,1976,517.927,1,,,,,,
25,25_1,1,8.5,6.7065,11/8/23,8:53,13:23,1976,701.488,1,,,,,,
26,26_1,2,8.5,6.7,11/8/23,8:53,13:25,1976,660.512,1,,,,,,
27,27_1,1,9,7.0516,11/8/23,8:53,13:26,1976,651.111,1,,,,,,
28,28_1,2,9,7.0989,11/8/23,8:53,13:27,1976,726.399,1,,,,,,
29,29_1,1,8.5,6.6572,11/8/23,8:53,13:28,1976,681.83,1,,,,,,
30,30_1,2,8.5,6.6604,11/8/23,8:53,13:30,1976,678.123,1,,,,,,
31,31_1,1,8,6.7558,11/8/23,8:53,13:31,1976,596.849,1,,,,,,
32,32_1,2,8,6.7693,11/8/23,8:53,13:32,1976,574.106,1,,,,,,
33,33_1,1,9,6.9243,11/8/23,8:58,13:39,1976,595.645,1,645.152,644.68,645.515,,13:36,13:38
34,34_1,2,9,6.9077,11/8/23,8:58,13:40,1976,627.325,1,,,,,,
35,35_1,1,9,6.9433,11/8/23,8:58,13:42,1976,626.749,1,,,,,,
36,36_1,2,9,6.9474,11/8/23,8:58,13:42,1976,637.751,1,,,,,,
37,37_1,1,8.5,6.9661,11/8/23,8:58,13:44,1976,707.814,1,,,,,,
38,38_1,2,8.5,6.9573,11/8/23,8:58,13:45,1976,672.848,1,,,,,,
39,39_1,1,7.5,6.3928,11/8/23,8:58,13:46,1976,1498.75,1,,,,,,
40,40_1,2,7.5,6.3754,11/8/23,8:58,13:48,1976,1778.16,1,,,,,,
41,41_1,1,8.5,6.7244,11/8/23,9:02,13:49,1976,703.731,1,,,,,,
42,42_1,2,8.5,6.7184,11/8/23,9:02,13:51,1976,665.503,1,,,,,,
43,43_1,1,9,6.7787,11/8/23,9:02,13:51,1976,630.612,1,,,,,,
44,44_1,2,9,6.7217,11/8/23,9:02,13:52,1976,640.192,1,,,,,,
45,45_1,1,8,6.7408,11/8/23,9:02,13:54,1976,595.668,1,,,,,,
46,46_1,2,8,6.6604,11/8/23,9:02,13:55,1976,558.068,1,,,,,,
47,47_1,1,8.5,6.6606,11/8/23,9:02,13:56,1976,621.464,1,,,,,,
48,48_1,2,8.5,6.6561,11/8/23,9:02,13:57,1976,596.579,1,,,,,,
49,01_2,1,8,6.7912,11/8/23,9:06,14:02,1976,630.614,1,644.867,645.254,645.687,,13:59,14:00
50,02_2,2,8,6.7877,11/8/23,9:06,14:02,1976,609.236,1,,,,,,
51,03_2,1,8.5,6.9099,11/8/23,9:06,14:03,1976,794.33,1,,,,,,
52,04_2,2,8.5,6.7911,11/8/23,9:06,14:04,1976,601.736,1,,,,,,
53,05_2,1,8.5,6.8473,11/8/23,9:06,14:05,1976,786.538,1,,,,,,
54,06_2,2,8.5,6.8419,11/8/23,9:06,14:07,1976,789.588,1,,,,,,
55,07_2,1,9,6.8807,11/8/23,9:06,14:09,1976,829.978,1,,,,,,
56,08_2,2,9,6.8999,11/8/23,9:06,14:10,1976,800.965,1,,,,,,
57,09_2,1,9.5,7.5481,11/8/23,9:10,14:11,1976,924.12,1,,,,,,
58,10_2,2,9.5,7.5512,11/8/23,9:10,14:12,1976,866.675,1,,,,,,
59,11_2,1,9,6.4862,11/8/23,9:10,14:14,1976,537.758,1,,,,,,
60,12_2,2,9,6.4986,11/8/23,9:10,14:14,1976,513.198,1,,,,,,
