Site,Plot,Biomass_Bag_kg,Bag_kg,Biomass_kg,SORU,POPRC,MISC,SampleDate,Year
UP,A,0.14,0.04,0.1,10,80,10,9/18/23,2023
UP,B,0.14,0.04,0.1,5,90,5,9/18/23,2023
UP,C,0.18,0.04,0.14,0,20,80,9/18/23,2023
UP,D,0.34,0.04,0.3,30,10,60,9/18/23,2023
UP,E,0.28,0.04,0.24,0,50,50,9/18/23,2023
UP,F,0.18,0.04,0.14,35,25,40,9/18/23,2023
UP,G,0.17,0.04,0.13,70,10,20,9/18/23,2023
UP,H,0.14,0.04,0.1,40,30,30,9/18/23,2023
UP,I,0.14,0.04,0.1,0,73,27,9/18/23,2023
UP,J,0.2,0.04,0.16,90,5,5,9/18/23,2023
