Population,Predation.Treatment,Generation,Cage.ID,Day,Date,Terraria,Time,X,Y,Estimate,Notes,Distance
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,9H 20M 0S,2,9,NA,,8.246211251
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,9H 40M 0S,2,9,NA,,0
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,10H 0M 0S,9,15,NA,,9.219544457
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,10H 20M 0S,2,5,NA,,12.20655562
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,10H 40M 0S,1,1,NA,,4.123105626
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,11H 0M 0S,1,1,NA,,0
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,11H 20M 0S,1,5,NA,,4
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,11H 40M 0S,7,8,NA,,6.708203932
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,12H 0M 0S,10,5,NA,,4.242640687
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,12H 20M 0S,1,21,NA,,18.35755975
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,12H 40M 0S,7,20,NA,,6.08276253
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,13H 0M 0S,2,20,NA,,5
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,13H 20M 0S,2,20,NA,,0
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,13H 40M 0S,9,18,NA,,7.280109889
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,14H 0M 0S,10,12,NA,,6.08276253
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,14H 20M 0S,10,20,NA,,8
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,14H 40M 0S,9,18,NA,,2.236067977
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,15H 0M 0S,10,17,NA,,1.414213562
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,15H 20M 0S,10,17,NA,,0
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,15H 40M 0S,10,17,NA,,0
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,16H 0M 0S,10,20,NA,,3
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,16H 20M 0S,10,20,NA,,0
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,16H 40M 0S,10,17,NA,,3
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,17H 0M 0S,10,17,NA,,0
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,17H 20M 0S,10,17,NA,,0
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,17H 40M 0S,9,17,NA,,1
DC,Predator,F1,S_DCN_P7,2,8/23/23,26,18H 0M 0S,9,17,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,7H 40M 0S,3,1,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,8H 0M 0S,2,1,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,8H 20M 0S,5,1,NA,,3
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,8H 40M 0S,5,2,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,9H 0M 0S,5,2,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,9H 20M 0S,6,1,NA,,1.414213562
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,9H 40M 0S,6,1,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,10H 0M 0S,6,1,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,10H 20M 0S,6,1,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,10H 40M 0S,6,1,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,11H 0M 0S,6,2,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,11H 20M 0S,6,2,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,11H 40M 0S,6,3,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,12H 0M 0S,5,1,NA,,2.236067977
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,12H 20M 0S,1,13,NA,,12.64911064
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,12H 40M 0S,1,13,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,13H 0M 0S,5,17,NA,,5.656854249
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,13H 20M 0S,7,20,NA,,3.605551275
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,13H 40M 0S,7,20,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,14H 0M 0S,7,20,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,14H 20M 0S,7,20,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,14H 40M 0S,7,20,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,15H 0M 0S,7,21,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,15H 20M 0S,7,20,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,15H 40M 0S,7,20,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,16H 0M 0S,6,10,NA,,10.04987562
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,16H 20M 0S,6,2,NA,,8
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,16H 40M 0S,8,1,NA,,2.236067977
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,17H 0M 0S,8,1,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,17H 20M 0S,8,1,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,17H 40M 0S,8,1,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,5,18H 0M 0S,8,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,7H 40M 0S,9,5,NA,,12
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,8H 0M 0S,9,3,NA,,2
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,8H 20M 0S,9,1,NA,,2
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,8H 40M 0S,5,8,NA,,8.062257748
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,9H 0M 0S,1,11,NA,,5
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,9H 20M 0S,1,11,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,9H 40M 0S,10,20,NA,,12.72792206
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,10H 0M 0S,10,19,NA,,1
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,10H 20M 0S,10,19,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,10H 40M 0S,10,20,NA,,1
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,11H 0M 0S,10,18,NA,,2
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,11H 20M 0S,1,14,NA,,9.848857802
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,11H 40M 0S,10,16,NA,,9.219544457
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,12H 0M 0S,10,17,NA,,1
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,12H 20M 0S,10,13,NA,,4
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,12H 40M 0S,10,13,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,13H 0M 0S,10,15,NA,,2
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,13H 20M 0S,10,15,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,13H 40M 0S,10,2,NA,,13
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,14H 0M 0S,10,1,NA,,1
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,14H 20M 0S,10,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,14H 40M 0S,10,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,15H 0M 0S,10,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,15H 20M 0S,10,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,15H 40M 0S,3,1,NA,,7
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,16H 0M 0S,2,7,NA,,6.08276253
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,16H 20M 0S,2,7,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,16H 40M 0S,5,6,NA,,3.16227766
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,17H 0M 0S,7,9,NA,,3.605551275
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,17H 20M 0S,2,17,NA,,9.433981132
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,17H 40M 0S,2,17,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,27,18H 0M 0S,2,17,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,7H 40M 0S,5,4,NA,,9.055385138
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,8H 0M 0S,5,2,NA,,2
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,8H 20M 0S,7,2,NA,,2
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,8H 40M 0S,8,7,NA,,5.099019514
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,9H 0M 0S,9,11,NA,,4.123105626
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,9H 20M 0S,5,18,NA,,8.062257748
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,9H 40M 0S,6,18,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,10H 0M 0S,6,18,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,10H 20M 0S,8,16,NA,,2.828427125
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,10H 40M 0S,7,18,NA,,2.236067977
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,11H 0M 0S,9,17,NA,,2.236067977
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,11H 20M 0S,9,13,NA,,4
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,11H 40M 0S,7,12,NA,,2.236067977
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,12H 0M 0S,8,1,NA,,11.04536102
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,12H 20M 0S,9,1,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,12H 40M 0S,8,3,NA,,2.236067977
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,13H 0M 0S,4,1,NA,,4.472135955
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,13H 20M 0S,4,1,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,13H 40M 0S,5,1,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,14H 0M 0S,5,1,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,14H 20M 0S,2,1,NA,,3
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,14H 40M 0S,2,1,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,15H 0M 0S,2,1,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,15H 20M 0S,2,1,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,15H 40M 0S,1,1,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,16H 0M 0S,2,1,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,16H 20M 0S,2,1,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,16H 40M 0S,3,1,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,17H 0M 0S,2,1,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,17H 20M 0S,2,1,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,17H 40M 0S,2,1,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,4,18H 0M 0S,2,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,7H 40M 0S,5,1,1,,16.2788206
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,8H 0M 0S,5,1,1,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,8H 20M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,8H 40M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,9H 0M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,9H 20M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,9H 40M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,10H 0M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,10H 20M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,10H 40M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,11H 0M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,11H 20M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,11H 40M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,12H 0M 0S,4,3,NA,,2.236067977
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,12H 20M 0S,5,1,NA,,2.236067977
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,12H 40M 0S,5,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,13H 0M 0S,2,8,NA,,7.615773106
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,13H 20M 0S,3,4,NA,,4.123105626
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,13H 40M 0S,3,4,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,14H 0M 0S,3,1,NA,,3
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,14H 20M 0S,3,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,14H 40M 0S,3,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,15H 0M 0S,3,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,15H 20M 0S,4,1,NA,,1
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,15H 40M 0S,4,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,16H 0M 0S,4,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,16H 20M 0S,4,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,16H 40M 0S,3,1,NA,,1
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,17H 0M 0S,4,1,NA,,1
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,17H 20M 0S,4,1,NA,,0
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,17H 40M 0S,2,1,NA,,2
DC,Predator,F2,S_DCN_P1,2,8/23/23,28,18H 0M 0S,2,1,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,7H 40M 0S,9,7,NA,,6.708203932
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,8H 0M 0S,6,12,NA,,5.830951895
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,8H 20M 0S,6,12,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,8H 40M 0S,4,14,NA,,2.828427125
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,9H 0M 0S,3,17,NA,,3.16227766
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,9H 20M 0S,3,17,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,9H 40M 0S,3,17,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,10H 0M 0S,8,5,NA,,13
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,10H 20M 0S,9,15,NA,,10.04987562
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,10H 40M 0S,9,16,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,11H 0M 0S,10,16,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,11H 20M 0S,10,16,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,11H 40M 0S,10,18,NA,,2
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,12H 0M 0S,10,20,NA,,2
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,12H 20M 0S,10,21,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,12H 40M 0S,10,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,13H 0M 0S,10,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,13H 20M 0S,2,6,NA,,17
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,13H 40M 0S,2,21,NA,,15
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,14H 0M 0S,10,20,NA,,8.062257748
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,14H 20M 0S,10,16,NA,,4
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,14H 40M 0S,10,17,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,15H 0M 0S,10,16,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,15H 20M 0S,10,21,NA,,5
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,15H 40M 0S,10,20,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,16H 0M 0S,10,21,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,16H 20M 0S,6,6,NA,,15.5241747
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,16H 40M 0S,6,17,NA,,11
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,17H 0M 0S,6,17,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,17H 20M 0S,6,16,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,17H 40M 0S,6,17,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,19,18H 0M 0S,6,17,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,7H 40M 0S,2,13,NA,,8.062257748
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,8H 0M 0S,2,14,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,8H 20M 0S,2,14,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,8H 40M 0S,2,14,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,9H 0M 0S,2,14,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,9H 20M 0S,1,21,NA,,7.071067812
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,9H 40M 0S,1,21,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,10H 0M 0S,1,21,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,10H 20M 0S,1,21,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,10H 40M 0S,1,21,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,11H 0M 0S,1,21,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,11H 20M 0S,1,21,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,11H 40M 0S,1,21,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,12H 0M 0S,4,20,NA,,3.16227766
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,12H 20M 0S,1,20,NA,,3
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,12H 40M 0S,3,9,NA,,11.18033989
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,13H 0M 0S,1,19,NA,,10.19803903
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,13H 20M 0S,1,21,NA,,2
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,13H 40M 0S,1,21,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,14H 0M 0S,1,19,NA,,2
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,14H 20M 0S,4,20,NA,,3.16227766
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,14H 40M 0S,4,20,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,15H 0M 0S,2,12,NA,,8.246211251
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,15H 20M 0S,2,14,NA,,2
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,15H 40M 0S,1,14,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,16H 0M 0S,1,15,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,16H 20M 0S,1,15,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,16H 40M 0S,1,15,NA,,0
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,17H 0M 0S,3,12,NA,,3.605551275
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,17H 20M 0S,4,12,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,17H 40M 0S,4,13,NA,,1
SP,Predator,F2,S_SPN_P4,2,8/23/23,3,18H 0M 0S,4,13,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,7H 40M 0S,10,3,NA,,18.24828759
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,8H 0M 0S,10,5,NA,,2
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,8H 20M 0S,6,3,NA,,4.472135955
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,8H 40M 0S,6,11,NA,,8
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,9H 0M 0S,6,11,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,9H 20M 0S,2,4,NA,,8.062257748
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,9H 40M 0S,7,18,NA,,14.86606875
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,10H 0M 0S,7,18,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,10H 20M 0S,5,9,NA,,9.219544457
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,10H 40M 0S,5,9,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,11H 0M 0S,6,20,NA,,11.04536102
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,11H 20M 0S,5,20,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,11H 40M 0S,5,20,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,12H 0M 0S,9,1,NA,,19.41648784
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,12H 20M 0S,8,1,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,12H 40M 0S,10,21,NA,,20.09975124
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,13H 0M 0S,1,21,NA,,9
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,13H 20M 0S,10,21,NA,,9
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,13H 40M 0S,10,21,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,14H 0M 0S,6,21,NA,,4
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,14H 20M 0S,7,21,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,14H 40M 0S,5,21,NA,,2
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,15H 0M 0S,8,21,NA,,3
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,15H 20M 0S,9,21,NA,,1
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,15H 40M 0S,9,21,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,16H 0M 0S,2,21,NA,,7
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,16H 20M 0S,2,21,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,16H 40M 0S,2,21,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,17H 0M 0S,2,21,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,17H 20M 0S,2,21,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,17H 40M 0S,2,21,NA,,0
SP,Predator,F1,S_SPN_P3,2,8/23/23,2,18H 0M 0S,1,21,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,7H 40M 0S,7,1,1,,16.03121954
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,8H 0M 0S,7,1,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,8H 20M 0S,7,1,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,8H 40M 0S,7,5,NA,,4
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,9H 0M 0S,9,2,NA,,3.605551275
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,9H 20M 0S,8,2,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,9H 40M 0S,9,7,NA,,5.099019514
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,10H 0M 0S,7,4,NA,,3.605551275
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,10H 20M 0S,3,4,NA,,4
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,10H 40M 0S,1,1,NA,,3.605551275
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,11H 0M 0S,1,1,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,11H 20M 0S,1,1,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,11H 40M 0S,1,1,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,12H 0M 0S,1,1,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,12H 20M 0S,10,18,NA,,19.23538406
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,12H 40M 0S,1,21,NA,,9.486832981
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,13H 0M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,13H 20M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,13H 40M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,14H 0M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,14H 20M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,14H 40M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,15H 0M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,15H 20M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,15H 40M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,16H 0M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,16H 20M 0S,1,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,16H 40M 0S,2,21,NA,,1
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,17H 0M 0S,2,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,17H 20M 0S,2,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,17H 40M 0S,2,21,NA,,0
FN,Predator,F2,S_FNN_P5,2,8/23/23,20,18H 0M 0S,2,21,NA,,0
SC,Predator,F2,S_SCN_P7,2,8/23/23,23,7H 40M 0S,NA,NA,NA,,16.76305461
