Population,Predation.Treatment,Generation,Cage.ID,Day,Date,Terraria,Time,X,Y,Estimate,Notes,Distance
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,15H 20M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,15H 40M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,16H 0M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,16H 20M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,16H 40M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,17H 0M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,17H 20M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,17H 40M 0S,7,1,NA,,3
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,18H 0M 0S,8,1,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,7H 40M 0S,NA,NA,NA,,8.544003745
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,8H 0M 0S,NA,NA,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,8H 20M 0S,9,5,NA,,10.29563014
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,8H 40M 0S,5,9,NA,,5.656854249
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,9H 0M 0S,5,9,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,9H 20M 0S,2,20,NA,,11.40175425
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,9H 40M 0S,2,15,NA,,5
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,10H 0M 0S,2,12,NA,,3
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,10H 20M 0S,2,13,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,10H 40M 0S,2,9,NA,,4
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,11H 0M 0S,4,9,NA,,2
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,11H 20M 0S,2,10,NA,,2.236067977
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,11H 40M 0S,1,15,NA,,5.099019514
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,12H 0M 0S,1,12,NA,,3
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,12H 20M 0S,1,19,NA,,7
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,12H 40M 0S,10,16,NA,,9.486832981
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,13H 0M 0S,10,14,NA,,2
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,13H 20M 0S,8,21,NA,,7.280109889
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,13H 40M 0S,1,20,NA,,7.071067812
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,14H 0M 0S,2,20,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,14H 20M 0S,7,19,NA,,5.099019514
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,14H 40M 0S,6,10,NA,,9.055385138
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,15H 0M 0S,3,15,NA,,5.830951895
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,15H 20M 0S,2,10,NA,,5.099019514
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,15H 40M 0S,1,10,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,16H 0M 0S,1,10,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,16H 20M 0S,1,10,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,16H 40M 0S,1,11,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,17H 0M 0S,1,11,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,17H 20M 0S,1,11,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,17H 40M 0S,1,12,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,21,18H 0M 0S,1,12,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,7H 40M 0S,NA,NA,NA,,21.02379604
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,8H 0M 0S,9,4,NA,,9.848857802
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,8H 20M 0S,9,4,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,8H 40M 0S,9,4,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,9H 0M 0S,7,12,NA,,8.246211251
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,9H 20M 0S,7,12,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,9H 40M 0S,7,12,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,10H 0M 0S,5,11,NA,,2.236067977
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,10H 20M 0S,8,3,NA,,8.544003745
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,10H 40M 0S,1,18,NA,,16.55294536
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,11H 0M 0S,1,18,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,11H 20M 0S,1,20,NA,,2
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,11H 40M 0S,5,19,NA,,4.123105626
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,12H 0M 0S,4,19,NA,,1
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,12H 20M 0S,6,19,NA,,2
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,12H 40M 0S,9,14,NA,,5.830951895
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,13H 0M 0S,9,18,NA,,4
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,13H 20M 0S,6,18,NA,,3
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,13H 40M 0S,6,18,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,14H 0M 0S,6,18,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,14H 20M 0S,8,15,NA,,3.605551275
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,14H 40M 0S,6,18,NA,,3.605551275
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,15H 0M 0S,8,18,NA,,2
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,15H 20M 0S,7,18,NA,,1
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,15H 40M 0S,6,19,NA,,1.414213562
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,16H 0M 0S,6,18,NA,,1
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,16H 20M 0S,6,18,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,16H 40M 0S,6,19,NA,,1
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,17H 0M 0S,6,19,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,17H 20M 0S,6,19,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,17H 40M 0S,6,19,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,19,18H 0M 0S,6,19,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,7H 40M 0S,9,5,1,,4.123105626
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,8H 0M 0S,9,5,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,8H 20M 0S,9,5,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,8H 40M 0S,9,5,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,9H 0M 0S,7,4,NA,,2.236067977
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,9H 20M 0S,7,5,NA,,1
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,9H 40M 0S,6,5,NA,,1
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,10H 0M 0S,2,18,NA,,13.60147051
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,10H 20M 0S,2,19,NA,,1
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,10H 40M 0S,2,20,NA,,1
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,11H 0M 0S,2,20,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,11H 20M 0S,5,12,NA,,8.544003745
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,11H 40M 0S,9,12,NA,,4
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,12H 0M 0S,10,16,NA,,4.123105626
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,12H 20M 0S,1,18,NA,,9.219544457
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,12H 40M 0S,10,12,NA,,10.81665383
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,13H 0M 0S,2,7,NA,,9.433981132
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,13H 20M 0S,9,8,NA,,7.071067812
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,13H 40M 0S,9,13,NA,,5
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,14H 0M 0S,10,21,NA,,8.062257748
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,14H 20M 0S,10,21,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,14H 40M 0S,9,16,NA,,5.099019514
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,15H 0M 0S,10,18,NA,,2.236067977
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,15H 20M 0S,10,21,NA,,3
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,15H 40M 0S,10,21,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,16H 0M 0S,10,21,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,16H 20M 0S,8,8,NA,,13.15294644
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,16H 40M 0S,8,11,NA,,3
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,17H 0M 0S,8,9,NA,,2
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,17H 20M 0S,8,9,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,17H 40M 0S,9,9,NA,,1
SC,Predator,F1,S_SCN_P1,1,8/22/23,26,18H 0M 0S,9,9,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,7H 40M 0S,NA,NA,NA,,12.04159458
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,8H 0M 0S,NA,NA,NA,,0
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,8H 20M 0S,2,8,NA,,8.246211251
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,8H 40M 0S,2,11,NA,,3
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,9H 0M 0S,2,12,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,9H 20M 0S,2,13,NA,,1
FN,Predator,F1,S_FNN_P6,1,8/22/23,22,9H 40M 0S,4,14,NA,,2.236067977
